IPERIOD,K,YGROSS,EIND,E,CCA,CCATOT,MAT,ML,MU,FORC,TATM,TOCEAN,DAMFRAC,DAMAGES,ABATECOST,MCABATE,CPRICE,YNET,Y,I,C,CPC,RI,PERIODU,CEMUTOTPER
40,6200.347149,2862.744013,-11.90856645,-11.88894622,-123.5062277,7.096725022,712.2816452,1779.671398,466.1436818,2.018364126,2.011617921,1.330389844,0.009549992,27.33918161,7.617252471,263.1804484,263.1804484,2835.404832,2827.787579,565.5575158,2262.230063,196.9902989,0.027635978,1.016022864,594.0007068
41,6489.030567,2985.958982,-11.67186275,-11.65449885,-139.748135,-9.118422577,701.9568618,1780.326978,459.5977374,1.94081592,1.960567853,1.347420546,0.00907143,27.08691813,7.279200028,256.6009372,256.6009372,2958.872064,2951.592864,590.3185728,2361.274291,205.5764284,0.027316266,1.01994383,553.6186553
42,6783.300524,3111.132171,-11.43112555,-11.41575849,-155.6672059,-25.01381107,691.9078064,1780.935776,453.1426062,1.864235473,1.908516145,1.362749229,0.008596144,26.74373999,6.950836803,250.1859137,250.1859137,3084.388431,3077.437594,615.4875189,2461.950076,214.3067289,0.027003937,1.023694403,515.8754857
43,7082.908721,3238.163762,-11.18710463,-11.17350479,-171.257939,-40.58358534,682.1250462,1781.498497,446.7928719,1.788608385,1.855671958,1.376393402,0.008126703,26.31559665,6.632395455,243.9312659,243.9312659,3211.848165,3205.21577,641.043154,2564.172616,223.1736585,0.026698967,1.027283477,480.6130336
44,7387.602541,3366.952293,-10.94051345,-10.92847758,-186.5158559,-55.82295357,672.6020753,1782.015944,440.5590269,1.713940555,1.802218386,1.388375366,0.007665259,25.80856144,6.324046184,237.8329842,237.8329842,3341.143731,3334.819685,666.963937,2667.855748,232.1695649,0.026401292,1.030719432,447.6805484
45,7697.125109,3497.394868,-10.69202793,-10.68137619,-201.4374509,-70.72813303,663.3342161,1782.488997,434.448654,1.640250922,1.748317154,1.398721441,0.007213606,25.22882992,6.025901506,231.8871596,231.8871596,3472.166038,3466.140137,693.2280273,2772.912109,241.2866997,0.026110823,1.034010155,416.9346786
46,8011.215542,3629.387395,-10.44228589,-10.4328591,-216.0201403,-85.29629477,654.3178846,1782.918584,428.4672368,1.567566451,1.694112199,1.407461334,0.006773238,24.58270496,5.738021078,226.0899806,226.0899806,3604.80469,3599.066669,719.8133338,2879.253335,250.5172361,0.025827452,1.037163073,388.2393897
47,8329.609334,3762.824832,-10.19188684,-10.18354414,-230.2622106,-99.52550795,645.5501037,1783.305671,422.618717,1.495918665,1.639732436,1.414627606,0.006345385,23.87657227,5.460416484,220.4377311,220.4377311,3738.94826,3733.487843,746.6975687,2986.790275,259.853287,0.025551059,1.040185172,361.4658257
48,8652.038859,3897.601451,-9.941392157,-9.934008859,-244.1627655,-113.4146843,637.0281834,1783.651252,416.90588,1.425341255,1.585293929,1.420255226,0.00593105,23.11686965,5.193055895,214.9267878,214.9267878,3874.484582,3869.291526,773.8583052,3095.433221,269.2869253,0.025281515,1.043083028,336.4921298
49,8978.233952,4033.611102,-9.691325492,-9.684791274,-257.7216746,-126.9635235,628.7495147,1783.956337,411.3306249,1.355868423,1.530901611,1.424381194,0.005531037,22.31005222,4.935868572,209.5536181,209.5536181,4011.30105,4006.365181,801.2730363,3205.092145,278.8102043,0.025018684,1.045862833,313.2032311
50,9307.922548,4170.747478,-9.442173469,-9.436390686,-270.9395217,-140.1724587,620.7114403,1784.221948,405.8941533,1.287533757,1.476650666,1.427044204,0.005145973,21.46255545,4.688749143,204.3147777,204.3147777,4149.284923,4144.596174,828.9192348,3315.676939,288.4151779,0.02476243,1.048530414,291.4906088
51,9640.831359,4308.904381,-9.194386496,-9.189268733,-283.8175542,-153.0426042,612.911176,1784.449114,400.5971056,1.220369452,1.422627655,1.428284366,0.004776332,20.58075741,4.451561671,199.2069083,199.2069083,4288.323624,4283.872062,856.7744125,3427.09765,298.0939215,0.024512613,1.051091264,271.2520392
52,9976.686572,4447.975978,-8.94837975,-8.94385053,-296.357634,-165.5757039,605.3457678,1784.638869,395.4396597,1.154405784,1.368911439,1.428142948,0.004422448,19.67094125,4.224143473,194.2267355,194.2267355,4428.305037,4424.080894,884.8161787,3539.264715,307.8385516,0.024269093,1.053550557,252.3913319
53,10315.21455,4587.857052,-8.704534266,-8.700525906,-308.562189,-177.7740816,598.0120713,1784.792243,390.4216044,1.089670767,1.315573951,1.42666216,0.004084534,18.73925893,4.006308691,189.3710672,189.3710672,4569.117793,4565.111484,913.0222969,3652.089188,317.6412455,0.024031732,1.055913171,234.81806
54,10656.14252,4728.44324,-8.463198115,-8.459650716,-320.434167,-189.6405927,590.9067461,1784.910266,385.5423954,1.026189926,1.262680842,1.423884955,0.003762696,17.79169665,3.79785162,184.6367905,184.6367905,4710.651544,4706.853692,941.3707384,3765.482954,327.4942593,0.023800392,1.058183709,218.4472884
55,10999.19929,4869.631266,-8.224687652,-8.221548205,-331.9769904,-201.1785778,584.0262609,1784.993961,380.8011998,0.963986161,1.210292027,1.419854852,0.003456944,16.8340427,3.598549783,180.0208707,180.0208707,4852.797223,4849.198674,969.8397347,3879.358939,337.3899462,0.023574935,1.060366512,203.1993025
56,11344.11586,5011.319154,-7.98928882,-7.986510409,-343.1945131,-212.3918187,577.3669039,1785.044346,376.1969312,0.903079676,1.158462157,1.414615782,0.003167202,15.87185795,3.408166777,175.5203489,175.5203489,4995.447296,4992.039129,998.4078258,3993.631303,347.3207726,0.023355227,1.062465683,188.9993415
57,11690.6261,5153.406431,-7.757258483,-7.754799589,-354.0909791,-223.2844952,570.9247975,1785.062427,371.7282802,0.843487949,1.107241022,1.408211941,0.002893319,14.91044941,3.226454877,171.1323402,171.1323402,5138.495982,5135.269527,1027.053905,4108.215621,357.2793336,0.023141134,1.064485093,175.7773354
58,12038.46734,5295.794322,-7.528825787,-7.526649666,-364.6709824,-233.8611449,564.6959149,1785.049201,367.393739,0.785225742,1.056673906,1.400687668,0.002635081,13.95484696,3.053157416,166.8540317,166.8540317,5281.839475,5278.786317,1055.757263,4223.029054,367.2583676,0.022932526,1.066428404,163.4676508
59,12387.38089,5438.385917,-7.304193538,-7.302267671,-374.9394301,-244.1266246,558.6760984,1785.005653,363.1916244,0.72830513,1.00680189,1.392087324,0.002392214,13.00978351,2.888010955,162.6826809,162.6826809,5425.376134,5422.488123,1084.497625,4337.990498,377.2507689,0.022729274,1.068299078,152.0088428
60,12737.11267,5581.086342,-7.083539576,-7.081835184,-384.9015053,-254.0860731,552.8610764,1784.932753,359.1200973,0.672735555,0.957662132,1.382455188,0.002164396,12.07967846,2.730747247,158.6156139,158.6156139,5569.006663,5566.275916,1113.255183,4453.020733,387.2495999,0.02253125,1.07010039,141.3434173
61,13087.41357,5723.802895,-6.867018148,-6.86550976,-394.562634,-263.7448772,547.2464822,1784.83146,355.1771808,0.61852389,0.909288111,1.371835362,0.001951259,11.16862471,2.581095007,154.6502236,154.6502236,5712.63427,5710.053175,1142.010635,4568.04254,397.2481018,0.022338331,1.071835442,131.4176014
62,13438.04002,5866.445187,-6.654761266,-6.653426344,-403.9284525,-273.1086385,541.8278705,1784.702714,351.3607766,0.565674519,0.861709841,1.36027168,0.001752403,10.28037899,2.438781497,150.783968,150.783968,5856.164808,5853.726026,1170.745205,4682.980821,407.2397039,0.022150393,1.073507167,122.1811243
63,13788.75428,6008.925255,-6.446880051,-6.445698644,-413.0047772,-282.1831425,536.6007342,1784.547443,347.6686804,0.514189418,0.814954078,1.347807634,0.001567394,9.418355495,2.303533947,147.0143688,147.0143688,5999.506899,5997.203365,1199.440673,4797.762692,417.2180317,0.021967316,1.07511835,113.5870078
64,14139.32488,6151.157667,-6.24346604,-6.242420495,-421.797576,-290.97433,531.56052,1784.366554,344.0985959,0.464068254,0.769044497,1.334486296,0.001395773,8.585622714,2.175080808,143.3390095,143.3390095,6142.572044,6140.396963,1228.079393,4912.317571,427.1769144,0.021788982,1.076671626,105.5913663
65,14489.52691,6293.059615,-6.044592476,-6.043667169,-430.3129415,-299.4882696,526.7026428,1784.16094,340.6481478,0.415308484,0.724001866,1.320350251,0.001237062,7.784903263,2.053152861,139.7555343,139.7555343,6285.274712,6283.221559,1256.644312,5026.577247,437.1103905,0.021615276,1.078169497,98.15321758
66,14839.1423,6434.550989,-5.850315555,-5.849496658,-438.5570666,-307.7311326,522.0224996,1783.931474,337.3148942,0.367905456,0.679844198,1.305441541,0.001090764,7.018576553,1.937484183,136.261646,136.261646,6427.532413,6425.594928,1285.118986,5140.475943,447.0127128,0.021446083,1.079614336,91.23430271
67,15187.96007,6575.554443,-5.660675639,-5.659950915,-446.5362204,-315.7091695,517.515482,1783.679011,334.0963377,0.321852516,0.636586901,1.289801607,0.000956373,6.288684065,1.827812992,132.8551048,132.8551048,6569.265759,6567.437946,1313.487589,5253.950357,456.8783524,0.021281291,1.081008395,84.79891529
68,15535.77649,6715.995449,-5.475698426,-5.475057045,-454.2567272,-323.4286879,513.1769879,1783.404388,330.9899361,0.277141121,0.594242915,1.27347124,0.000833374,5.596937029,1.723882364,129.5337272,129.5337272,6710.398512,6708.674629,1341.734926,5366.939703,466.702001,0.021120791,1.082353812,78.81374049
