PERIOD,L,GA,AL,GSIG,SIGMA,PBACKTIME,COST1,ETREE,CUMETREE,RR,CPRICEBASE
78,11499.92175,0.011086558,75.29200445,-0.010340858,0.002691172,78.29212815,0.00008104,0.000213602,130.8331127,0.003240214,4093.512529
79,11499.93224,0.010812829,76.13609161,-0.010289257,0.002555562,76.33482494,0.00007503,0.000189038,130.833404,0.003007762,4519.568601
80,11499.94132,0.01054586,76.96833711,-0.010237913,0.002427413,74.42645432,0.00006949,0.000167298,130.8336619,0.002791986,4989.968931
81,11499.94918,0.010285482,77.78868568,-0.010186826,0.002306282,72.56579296,0.00006437,0.000148059,130.83389,0.00259169,5509.328906
82,11499.95599,0.010031532,78.59709465,-0.010135993,0.002191754,70.75164814,0.00005964,0.000131032,130.834092,0.002405763,6082.744283
83,11499.96189,0.009783853,79.39353343,-0.010085415,0.002083444,68.98285694,0.00005528,0.000115964,130.8342707,0.002233175,6715.841194
84,11499.96699,0.009542288,80.177983,-0.010035088,0.001980987,67.25828551,0.00005125,0.000102628,130.8344289,0.002072967,7414.83134
85,11499.97142,0.009306689,80.95043541,-0.009985013,0.001884043,65.57682837,0.00004752,9.08E-05,130.8345688,0.001924253,8186.572941
86,11499.97525,0.009076906,81.71089324,-0.009935188,0.001792291,63.93740766,0.00004407,8.04E-05,130.8346927,0.001786208,9038.638028
87,11499.97856,0.008852796,82.45936915,-0.009885611,0.001705433,62.33897247,0.00004089,7.11E-05,130.8348023,0.001658066,9979.386734
88,11499.98144,0.00863422,83.19588535,-0.009836282,0.001623186,60.78049816,0.00003795,6.30E-05,130.8348994,0.001539117,11018.04932
89,11499.98392,0.00842104,83.92047315,-0.009787199,0.001545287,59.26098571,0.00003522,5.57E-05,130.8349852,0.001428701,12164.81674
90,11499.98608,0.008213124,84.63317248,-0.009738361,0.001471487,57.77946106,0.00003270,4.93E-05,130.8350612,0.001326207,13430.94064
91,11499.98794,0.008010341,85.33403145,-0.009689766,0.001401554,56.33497454,0.00003037,4.36E-05,130.8351285,0.001231065,14828.84373
92,11499.98956,0.007812565,86.02310587,-0.009641414,0.001335269,54.92660017,0.00002821,3.86E-05,130.835188,0.001142749,16372.2417
93,11499.99096,0.007619672,86.70045884,-0.009593303,0.001272427,53.55343517,0.00002621,3.42E-05,130.8352407,0.001060768,18076.27776
94,11499.99217,0.007431542,87.36616034,-0.009545433,0.001212833,52.21459929,0.00002436,3.02E-05,130.8352873,0.000984669,19957.67127
95,11499.99322,0.007248056,88.02028677,-0.009497801,0.001156308,50.90923431,0.00002264,2.68E-05,130.8353285,0.000914029,22034.88173
96,11499.99413,0.007069101,88.66292062,-0.009450407,0.001102679,49.63650345,0.00002105,2.37E-05,130.835365,0.000848457,24328.28992
97,11499.99491,0.006894564,89.29415,-0.009403249,0.001051787,48.39559086,0.00001958,2.10E-05,130.8353973,0.000787589,26860.39787
98,11499.9956,0.006724337,89.91406834,-0.009356327,0.001003481,47.18570109,0.00001821,1.86E-05,130.8354259,0.000731088,29656.04966
99,11499.99619,0.006558313,90.52277398,-0.009309639,0.000957617,46.00605857,0.00001694,1.64E-05,130.8354512,0.00067864,32742.67512
100,11499.9967,0.006396387,91.12036985,-0.009263183,0.000914064,44.8559071,0.00001577,1.45E-05,130.8354736,0.000629954,36150.55905
