IPERIOD,K,YGROSS,EIND,E,CCA,CCATOT,MAT,ML,MU,FORC,TATM,TOCEAN,DAMFRAC,DAMAGES,ABATECOST,MCABATE,CPRICE,YNET,Y,I,C,CPC,RI,PERIODU,CEMUTOTPER
16,1720.4760116181692,731.4137118288744,17.329099000021966,17.6972836506816,749.1244208808533,875.5934470596095,1329.6592982799746,1764.3149036805999,732.6192450990358,5.304098883828615,3.3697192544276438,0.7300898258114771,0.026797818534638532,19.600291923336577,5.905931696197081,247.37291581586646,247.37291581586646,711.8134199055378,705.9074882093407,172.1310371558617,533.776451053479,48.50686330948044,0.03693135361883412,0.8348075629354643,2791.6387168380925
17,1876.5790658797214,794.2959799665857,12.741108536379489,13.066951952213268,772.7593076784829,899.7304951374622,1337.8306026036412,1766.8583119095051,746.0415806243163,5.366049011938031,3.4835019029839245,0.7960805615268812,0.028638093799098593,22.74712277853002,7.059974210039773,271.35080605274055,271.35080605274055,771.5488571880558,764.488882978016,186.47528329816564,578.0135996798504,52.21759450879613,0.036409310942355985,0.8474478385924167,2646.1872982730965
18,2040.477589102145,860.1611934557693,7.781674613145753,8.070046036158647,790.1367061187167,917.5523063106936,1341.3368912668016,1769.491950098287,757.7234649456054,5.379950260076419,3.584679522899307,0.8632660950633073,0.030325828385268903,26.085100736407746,8.378496783588856,296.77607331742587,296.77607331742587,834.0760927193616,825.6975959357727,201.36090642817956,624.3366895075932,56.1146671892075,0.035961471268106456,0.8593922880109014,2503.7451176603527
19,2211.6861437298235,928.9593524048354,2.4368396681128583,2.69204837747927,800.7500102828544,928.558915743534,1339.8968728769644,1772.2035028911343,767.4585399754357,5.3742454768592935,3.6729081055069983,0.9313014307592073,0.03183699932553766,29.575278275964642,9.886650070853117,323.9171761142465,323.9171761142465,899.3840741288708,889.4974240580177,216.5908697852918,672.9065542727259,60.212779118235815,0.03563266758345872,0.8707203977304395,2365.215904865384
20,2388.9328999374825,1000.5390311475368,1.9719378924978148e-06,0.22586167972716648,804.073577751639,932.2305583751207,1333.2027645985006,1774.9792284690523,775.0485653075682,5.34764531745639,3.7477551100977373,0.9998415976279021,0.03314777734202234,33.1656450264813,10.481635651416216,331.4782113995188,331.4782113995188,967.3733861210554,956.8917504696392,232.8601750249048,724.0315754447344,64.53949537784727,0.03530441102818959,0.8815270482022752,2231.327708738845
21,2574.941863208608,1075.247397033657,8.687162676350073e-07,0.1998867101097751,804.0735804411343,932.5386075836957,1325.4360008555389,1777.8040174635646,780.2985892645926,5.316614891116586,3.810495135639806,1.068539435439648,0.034266900701813714,36.84539578403599,10.252839074312867,323.1912630712161,323.1912630712161,1038.4020012496212,1028.1491621753084,250.3592927907162,777.7898693845923,69.1015375314663,0.03490776053920971,0.8918389757376238,2102.454392451915
22,2772.2738847596324,1153.4032151019692,3.2092357605151924e-07,0.17689929055683015,804.0735816259628,932.8112299379097,1319.5948266029484,1780.6614179814353,783.5549853535265,5.293157707056791,3.8634426734527345,1.137088327944652,0.03522580672689125,40.62955873335694,10.013977910966561,315.1114848462963,315.1114848462963,1112.7736563686124,1102.7596784576458,268.6947098261468,834.064968631499,73.88835389119478,0.034478267109554275,0.9016482267009533,1978.7748187389118
23,2980.4735553424493,1234.941492000506,3.0275592154916536e-07,0.15655589088135144,804.0735820636654,933.0525001105186,1315.0614947124948,1783.537426847914,785.4535785501105,5.274880925637977,3.9083723295718564,1.205247186582354,0.03604988326908854,44.51949663077228,9.76584562130805,307.23369783363444,307.23369783363444,1190.4219953697338,1180.6561497484258,287.8679491679417,892.7882005804842,78.89375786695706,0.034024092039456146,0.9109658173113119,1860.428660376413
24,3199.2795755338716,1319.8178603057538,3.023717227054994e-07,0.13855199786272818,804.0735824765894,933.2660242388347,1311.416540871133,1786.4225121793597,786.4269711883425,5.2601400160031515,3.9466638168627632,1.2728253151570916,0.03675972646866766,48.51614353330174,9.509616682668282,299.5528553877936,299.5528553877936,1271.301716772452,1261.7921000897836,307.9106704210005,953.8814296687831,84.11078019676533,0.03355283580362287,0.9198065886253416,1747.487905861032
25,3428.6959486619985,1408.0170221655062,3.0155239995850144e-07,0.12261855206193978,804.0735828889894,933.4549931393567,1308.375211220034,1789.3101842737874,786.7695976455356,5.247808891971173,3.9794051254883307,1.3396712776997335,0.0373721697605202,52.62065117807143,9.24675296925338,292.06403400309887,292.06403400309887,1355.396370987435,1346.1496180181816,328.8892486340209,1017.2603693841608,89.5319427921072,0.03306553359844382,0.9281883370868309,1639.9663724215122
